epoch	loss	acc	val_loss	val_acc	auc	precision	recall
1	0.7918	0.5813	0.9523	0.5122	0.6281	0.5122	1.0000
2	0.7032	0.6260	0.7710	0.5144	0.6774	0.5133	1.0000
3	0.6440	0.6731	0.6959	0.5282	0.7191	0.5207	0.9917
4	0.6016	0.6913	0.6663	0.5399	0.7495	0.5273	0.9834
5	0.5664	0.7183	0.6401	0.7103	0.7703	0.7277	0.6944
6	0.5338	0.7297	0.6382	0.6933	0.7686	0.6606	0.8254
7	0.5088	0.7598	0.6251	0.7529	0.8309	0.8044	0.6840
8	0.4827	0.7694	0.6164	0.6901	0.8378	0.6381	0.9127
9	0.4575	0.7863	0.5923	0.7945	0.8626	0.8013	0.7963
10	0.4433	0.8037	0.5974	0.6922	0.8864	0.9444	0.4241
11	0.4205	0.8196	0.5727	0.7540	0.9010	0.9630	0.5405
12	0.4102	0.8242	0.5534	0.7998	0.9029	0.9508	0.6424
13	0.3863	0.8297	0.5310	0.8040	0.8872	0.8414	0.7609
14	0.3782	0.8283	0.5325	0.7678	0.9131	0.9519	0.5759
15	0.3662	0.8429	0.5395	0.7263	0.9075	0.9667	0.4823
16	0.3534	0.8493	0.5276	0.7497	0.9116	0.9695	0.5281
17	0.3502	0.8534	0.5077	0.7551	0.9161	0.9597	0.5447
18	0.3384	0.8566	0.5247	0.7082	0.9282	0.9770	0.4407
19	0.3256	0.8571	0.4507	0.8317	0.9336	0.9601	0.7006
20	0.3117	0.8763	0.5132	0.7252	0.9328	0.9827	0.4719
21	0.3087	0.8749	0.4298	0.8413	0.9245	0.9346	0.7422
22	0.3015	0.8785	0.5149	0.7199	0.9361	0.9781	0.4636
23	0.2989	0.8744	0.5066	0.7348	0.9370	0.9793	0.4927
24	0.2795	0.8863	0.4231	0.8285	0.9381	0.9651	0.6902
25	0.2714	0.8895	0.4895	0.7370	0.9445	0.9756	0.4990
26	0.2591	0.8982	0.4041	0.8211	0.9445	0.9510	0.6861
27	0.2565	0.8959	0.3654	0.8626	0.9402	0.8745	0.8545
28	0.2577	0.8995	0.6741	0.6187	0.9462	0.9695	0.2640
29	0.2445	0.9050	0.3924	0.8381	0.9520	0.9687	0.7069
30	0.2495	0.9059	0.4433	0.7902	0.9520	0.9702	0.6091
31	0.2375	0.9142	0.3675	0.8445	0.9532	0.9614	0.7256
32	0.2259	0.9178	0.5193	0.7359	0.9538	0.9641	0.5031
33	0.2182	0.9174	0.3262	0.8765	0.9505	0.9376	0.8129
34	0.2190	0.9155	0.3443	0.8637	0.9549	0.9657	0.7609
35	0.2231	0.9192	0.3641	0.8413	0.9555	0.9663	0.7152
36	0.2182	0.9237	0.3432	0.8562	0.9572	0.9601	0.7505
37	0.2091	0.9205	0.3999	0.8168	0.9573	0.9668	0.6653
38	0.1943	0.9315	0.3256	0.8690	0.9539	0.9431	0.7921
39	0.1970	0.9311	0.3319	0.8626	0.9601	0.9681	0.7568
40	0.1874	0.9324	0.3349	0.8616	0.9617	0.9680	0.7547
41	0.1883	0.9301	0.3394	0.8541	0.9607	0.9574	0.7484
42	0.1874	0.9361	0.2997	0.8903	0.9561	0.8795	0.9106
43	0.1783	0.9301	0.2860	0.8818	0.9591	0.9343	0.8274
44	0.1769	0.9361	0.3895	0.8222	0.9642	0.9758	0.6694
45	0.1636	0.9493	0.4800	0.7796	0.9633	0.9757	0.5842
46	0.1654	0.9443	0.2735	0.8924	0.9590	0.9130	0.8732
47	0.1623	0.9402	0.2772	0.8882	0.9648	0.9519	0.8233
48	0.1696	0.9388	0.2694	0.8924	0.9631	0.9378	0.8462
49	0.1509	0.9521	0.4123	0.8104	0.9680	0.9749	0.6466
50	0.1541	0.9452	0.3642	0.8424	0.9691	0.9744	0.7110
51	0.1521	0.9416	0.2565	0.9010	0.9664	0.9311	0.8711
52	0.1445	0.9516	0.3068	0.8711	0.9685	0.9688	0.7734
53	0.1477	0.9489	0.3837	0.8296	0.9611	0.9679	0.6902
54	0.1453	0.9521	0.3019	0.8754	0.9563	0.8396	0.9356
55	0.1305	0.9575	0.2653	0.8892	0.9688	0.9564	0.8212
56	0.1332	0.9575	0.3100	0.8669	0.9710	0.9709	0.7630
57	0.1358	0.9521	0.2433	0.9052	0.9681	0.9434	0.8669
58	0.1312	0.9530	0.2468	0.9020	0.9692	0.9451	0.8586
59	0.1292	0.9566	0.2443	0.8956	0.9703	0.9423	0.8482
60	0.1254	0.9603	0.5403	0.7593	0.9678	0.9775	0.5426
61	0.1245	0.9557	0.2905	0.8690	0.9711	0.9637	0.7734
62	0.1208	0.9603	0.2431	0.9020	0.9681	0.9410	0.8628
63	0.1224	0.9612	0.2324	0.9084	0.9705	0.9379	0.8794
64	0.1218	0.9626	0.5506	0.7604	0.9707	0.9812	0.5426
65	0.1089	0.9635	0.2380	0.9052	0.9678	0.9000	0.9168
66	0.1157	0.9616	0.2576	0.8882	0.9712	0.9563	0.8191
67	0.1135	0.9616	0.2387	0.9010	0.9720	0.9470	0.8545
68	0.1128	0.9621	0.2378	0.9063	0.9662	0.9208	0.8940
69	0.1080	0.9644	0.3320	0.8541	0.9710	0.9699	0.7380
70	0.1093	0.9612	0.2324	0.8999	0.9733	0.9448	0.8545
71	0.1084	0.9607	0.6919	0.7231	0.9701	0.9911	0.4636
72	0.0939	0.9699	0.2095	0.9137	0.9762	0.9444	0.8836
73	0.1032	0.9639	0.2284	0.9105	0.9725	0.8869	0.9459
74	0.1006	0.9699	0.3850	0.8211	0.9626	0.7480	0.9813
75	0.0997	0.9708	0.4278	0.8126	0.9771	0.9841	0.6445
76	0.0932	0.9726	0.2806	0.8818	0.9780	0.9793	0.7859
77	0.0899	0.9699	0.2396	0.8978	0.9669	0.8873	0.9168
